season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,registered,cnt
1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,34,46
1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,74,79
1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,65,71
1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,52,62
1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,55,62
1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,85,89
1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,186,190
1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,166,169
1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,127,132
1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,82,89
1,0,1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,40,43
1,0,1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,41,42
1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,18,19
1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11,11
1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4,4
1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2,2
1,0,1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,1,1
1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4,4
1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36,36
1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95,95
1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,216,219
1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,116,122
1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,42,45
1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,57,59
1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,78,84
1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,55,67
1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,59,70
1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,54,62
1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,74,86
1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,163,172
1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,158,163
1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,109,112
1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,66,69
1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48,48
1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,51,52
1,0,1,23,0,4,1,2,0.2,0.19699999999999998,0.59,0.19399999999999998,19,23
1,0,1,0,0,5,1,2,0.2,0.19699999999999998,0.64,0.19399999999999998,13,17
1,0,1,1,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,5,7
1,0,1,2,0,5,1,2,0.2,0.19699999999999998,0.69,0.2239,1,1
1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1,1
1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,5,5
1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,26,34
1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,76,84
1,0,1,8,0,5,1,1,0.2,0.19699999999999998,0.51,0.2537,190,210
1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,125,134
1,0,1,10,0,5,1,1,0.22,0.19699999999999998,0.37,0.3284,47,63
1,0,1,11,0,5,1,2,0.2,0.19699999999999998,0.4,0.2239,48,67
1,0,1,12,0,5,1,2,0.2,0.19699999999999998,0.37,0.2537,50,59
1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,64,73
1,0,1,14,0,5,1,2,0.2,0.19699999999999998,0.4,0.2537,43,50
1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,63,72
1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,82,87
1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,178,187
1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,116,123
1,0,1,19,0,5,1,1,0.16,0.19699999999999998,0.55,0.0896,92,95
1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,50,51
1,0,1,21,0,5,1,1,0.18,0.19699999999999998,0.47,0.1343,39,39
1,0,1,22,0,5,1,2,0.18,0.19699999999999998,0.43,0.1642,34,36
1,0,1,23,0,5,1,2,0.18,0.19699999999999998,0.51,0.1642,14,15
1,0,1,0,0,6,0,2,0.18,0.19699999999999998,0.51,0.1642,24,25
1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,15,16
1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,13,16
1,0,1,3,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,7,7
1,0,1,4,0,6,0,3,0.18,0.19699999999999998,0.55,0.1642,1,1
1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5,5
1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2,2
1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,8,9
1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15,15
1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20,20
1,0,1,10,0,6,0,2,0.18,0.19699999999999998,0.8,0.1642,56,61
1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,60,62
1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,90,98
1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,95,102
1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,83,95
1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,69,74
1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,68,76
1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,64,69
1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,52,55
1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,26,30
1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28,28
1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,35,37
1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,33,34
1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22,22
1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,24,25
1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12,12
1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11,11
1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4,4
1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1,1
1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,1,1
1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1,1
1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,5,6
1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10,10
1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19,19
1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49,49
1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,47,49
1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,79,83
1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,69,75
1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,64,72
1,0,1,15,0,0,0,1,0.22,0.19699999999999998,0.35,0.3582,77,82
1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,79,92
1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,59,62
1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,44,48
1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,40,41
1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38,38
1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,19,20
1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,10,15
1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.19399999999999998,6,6
1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,3,5
1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,0,1
1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3,3
1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1,1
1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,2,3
1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3,3
1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31,31
1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,75,77
1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,184,188
1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,92,94
1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31,31
1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,28,30
1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,47,52
1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,50,54
1,0,1,14,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,47,47
1,0,1,15,0,1,1,2,0.2,0.19699999999999998,0.4,0.2239,43,45
1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,70,74
1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,174,178
1,0,1,18,0,1,1,1,0.2,0.19699999999999998,0.4,0.2239,154,155
1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,92,95
1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,73,74
1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.19399999999999998,37,38
1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,22,24
1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18,18
1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,10,12
1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3,3
1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.19399999999999998,3,3
1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6,6
1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27,27
1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,97,99
1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,214,217
1,0,1,9,0,2,1,2,0.18,0.19699999999999998,0.51,0.1642,127,130
1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,51,54
1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,31,35
1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,55,57
1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,46,52
1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,60,63
1,0,1,15,0,2,1,2,0.16,0.19699999999999998,0.8,0.0896,45,47
1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,72,76
1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,130,136
1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,94,95
1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51,51
1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.19399999999999998,32,32
1,0,1,21,0,2,1,3,0.16,0.19699999999999998,0.86,0.0896,20,20
1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,28,29
1,0,1,23,0,2,1,3,0.16,0.19699999999999998,0.93,0.0896,18,19
1,0,1,0,0,3,1,2,0.16,0.19699999999999998,0.86,0.0896,7,7
1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6,6
1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1,1
1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5,5
1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16,16
1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54,54
1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,125,128
1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,78,81
1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39,39
1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,32,35
1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,52,55
1,0,1,13,0,3,1,1,0.22,0.19699999999999998,0.44,0.3582,49,49
1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44,44
1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,48,49
1,0,1,16,0,3,1,1,0.22,0.19699999999999998,0.44,0.3284,63,68
1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139,139
1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,135,137
1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,82,83
1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,54,56
1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57,57
1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,32,33
1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,19,20
1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,6,7
1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2,2
1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2,2
1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3,3
1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4,4
1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3,3
1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28,28
1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72,72
1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.19399999999999998,197,202
1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,137,139
1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,36,38
1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,33,37
1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,49,52
1,0,1,13,0,4,1,1,0.22,0.19699999999999998,0.41,0.4478,81,83
1,0,1,14,0,4,1,1,0.22,0.19699999999999998,0.41,0.3881,39,42
1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,55,60
1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,76,78
1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,158,162
1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,141,144
1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,98,99
1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64,64
1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,40,40
1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,30,30
1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.19399999999999998,14,15
1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.19399999999999998,14,14
1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,5,5
1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1,1
1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,1,1
1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,8,8
1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0.0,17,17
1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,70,70
1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0,156,158
1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,117,117
1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.19399999999999998,40,44
1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,47,53
1,0,1,12,0,5,1,1,0.2,0.19699999999999998,0.44,0.2537,59,61
1,0,1,13,0,5,1,1,0.22,0.19699999999999998,0.37,0.3881,73,77
1,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,59,64
1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,59,68
1,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,87,90
1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,155,159
1,0,1,18,0,5,1,1,0.2,0.2576,0.47,0.0,134,139
1,0,1,19,0,5,1,1,0.16,0.19699999999999998,0.59,0.0896,89,92
1,0,1,20,0,5,1,1,0.18,0.2424,0.59,0.0,68,68
1,0,1,21,0,5,1,1,0.16,0.2273,0.69,0.0,48,52
1,0,1,22,0,5,1,2,0.16,0.2273,0.69,0.0,34,36
1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0.0,26,27
1,0,1,0,0,6,0,1,0.18,0.2424,0.55,0.0,25,28
1,0,1,1,0,6,0,2,0.16,0.19699999999999998,0.59,0.0896,18,20
1,0,1,2,0,6,0,2,0.16,0.19699999999999998,0.59,0.0896,12,12
1,0,1,3,0,6,0,2,0.16,0.2273,0.59,0.0,7,8
1,0,1,4,0,6,0,2,0.16,0.2273,0.59,0.0,5,5
1,0,1,5,0,6,0,1,0.16,0.2273,0.59,0.0,1,1
1,0,1,6,0,6,0,1,0.14,0.1667,0.63,0.1045,2,3
1,0,1,7,0,6,0,1,0.14,0.2121,0.63,0.0,9,10
1,0,1,8,0,6,0,1,0.14,0.1515,0.63,0.1343,22,23
1,0,1,9,0,6,0,1,0.16,0.1818,0.64,0.1343,31,33
1,0,1,10,0,6,0,1,0.18,0.19699999999999998,0.59,0.1642,57,59
1,0,1,11,0,6,0,1,0.2,0.19699999999999998,0.55,0.2239,54,72
1,0,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239,74,89
1,0,1,13,0,6,0,1,0.28,0.2576,0.38,0.2985,80,101
1,0,1,14,0,6,0,1,0.3,0.2879,0.39,0.2836,92,118
1,0,1,15,0,6,0,2,0.32,0.3182,0.36,0.19399999999999998,108,129
1,0,1,16,0,6,0,2,0.34,0.3333,0.34,0.19399999999999998,95,128
1,0,1,17,0,6,0,2,0.32,0.303,0.36,0.2836,54,83
1,0,1,18,0,6,0,2,0.3,0.2879,0.45,0.2537,69,84
1,0,1,19,0,6,0,2,0.32,0.303,0.39,0.2537,60,74
1,0,1,20,0,6,0,2,0.32,0.303,0.39,0.2537,35,41
1,0,1,21,0,6,0,2,0.32,0.303,0.39,0.2239,51,57
1,0,1,22,0,6,0,2,0.3,0.3182,0.42,0.1045,26,26
1,0,1,23,0,6,0,1,0.3,0.2879,0.45,0.2836,39,44
1,0,1,0,0,0,0,1,0.26,0.303,0.56,0.0,33,39
1,0,1,1,0,0,0,1,0.26,0.2727,0.56,0.1343,19,23
1,0,1,2,0,0,0,1,0.26,0.2879,0.56,0.0896,13,16
1,0,1,3,0,0,0,1,0.22,0.2727,0.69,0.0,6,15
1,0,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642,1,1
1,0,1,5,0,0,0,2,0.26,0.2576,0.56,0.1642,1,2
1,0,1,6,0,0,0,2,0.26,0.2576,0.56,0.1642,1,1
1,0,1,7,0,0,0,2,0.24,0.2121,0.56,0.2985,3,3
1,0,1,8,0,0,0,1,0.22,0.2121,0.55,0.2836,18,18
1,0,1,9,0,0,0,1,0.22,0.2121,0.51,0.2537,29,32
